Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
Average	iii	iii	iii	iii	iii	iii	0.080551	0.222723	0,118202	0.930055
MP.V1.res	437506	1522780	3269135	166147	105415	5500983	0.081086	0.223185	0.118955	0.929076
MP.V2.res	437599	1528918	3262589	166384	105493	5500983	0.081105	0.222525	0.118880	0.929100
MPZ.V1.res	456460	2265591	2482228	175575	121129	5500983	0.084846	0.167690	0.112680	0.929243
MPZ.V2.res	460754	2863997	1864582	188101	123549	5500983	0.085683	0.138583	0.105894	0.930039
MT.V1.res	426184	1417476	3417983	160034	79306	5500983	0.078607	0.231162	0.117320	0.919519
MT.V2.res	425689	1425264	3419147	151594	79289	5500983	0.078516	0.229984	0.117066	0.919625
MTZ.V1.res	450491	2273696	2482228	173439	121129	5500983	0.083737	0.165367	0.111177	0.924797
MTZ.V2.res	453924	2880372	1864582	178556	123549	5500983	0.084413	0.136138	0.104210	0.925611
