Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
Average	iii	iii	iii	iii	iii	iii	0.305660	0.836188	0.447271	0.999807
MP.V1.res	1639411	294430	3269135	51375	246632	5500983	0.312010	0.847749	0.456140	0.999759
MP.V2.res	1641963	296935	3262589	52018	247478	5500983	0.312546	0.846854	0.456583	0.999761
MPZ.V1.res	1988320	658680	2482228	57087	314668	5500983	0.383378	0.751160	0.507657	0.999888
MPZ.V2.res	2308402	899422	1864582	66901	361676	5500983	0.449166	0.719616	0.553101	0.999879
MT.V1.res	1589600	247442	3417983	31731	214227	5500983	0.300676	0.865304	0.446279	0.999736
MT.V2.res	1564173	262285	3419147	41785	213593	5500983	0.295831	0.856397	0.439754	0.999697
MTZ.V1.res	2021642	642115	2482228	40330	314668	5500983	0.389803	0.758944	0.515063	0.999893
MTZ.V2.res	2315110	899058	1864582	60557	361676	5500983	0.450471	0.720283	0.554287	0.999841
