Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
Average	iii	iii	iii	iii	iii	iii	0.872988	0.994805	0.929907	0.965738
MP.V1.res	2218477	248615	283358	374550	0	3125000	0.709913	0.899228	0.793434	0.893835
MP.V2.res	2250275	248841	251296	374588	0	3125000	0.720088	0.900428	0.800224	0.896322
MPZ.V1.res	2374141	316377	59064	375418	0	3125000	0.759725	0.882410	0.816485	0.915499
MPZ.V2.res	2378227	327661	42641	376471	0	3125000	0.761033	0.878908	0.815734	0.916044
MT.V1.res	2180550	217621	333318	393511	0	3125000	0.697776	0.909255	0.789601	0.871917
MT.V2.res	2255637	214245	271041	384077	0	3125000	0.721804	0.913257	0.806322	0.895190
MTZ.V1.res	2382780	288253	59064	394903	0	3125000	0.762490	0.892082	0.822211	0.906086
MTZ.V2.res	2399933	296022	42641	386404	0	3125000	0.767979	0.890198	0.824584	0.918842
