Classifier	tp	fp	fn	ok	no	(tp+fp+fn+ok+no)	sens	prec	f1	pearson
Average	iii	iii	iii	iii	iii	iii	0.693557	0.900998	0.783768	0.892944
MP.V1.res	2792367	11478	283358	37797	0	3125000	0.893557	0.995906	0.941960	0.966200
MP.V2.res	2824389	11519	251296	37796	0	3125000	0.903804	0.995938	0.947637	0.968651
MPZ.V1.res	2951826	75828	59064	38282	0	3125000	0.944584	0.974955	0.959529	0.986130
MPZ.V2.res	3021908	21769	42641	38682	0	3125000	0.967011	0.992848	0.979759	0.996543
MT.V1.res	2719167	32625	333318	39890	0	3125000	0.870133	0.988144	0.925392	0.953882
MT.V2.res	2788631	31977	271041	33351	0	3125000	0.892362	0.988663	0.938047	0.975271
MTZ.V1.res	2927239	98025	59064	40672	0	3125000	0.936716	0.967598	0.951907	0.985269
MTZ.V2.res	3004637	43366	42641	34356	0	3125000	0.961484	0.985772	0.973477	0.996889
